station_id,station_id,latitude,longitude,elevation,date_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,cloud_coverage,air_temperature,dew_point_temperature,altimeter,current_wx1_symbol,current_wx2_symbol,current_wx3_symbol,remarks,air_pressure_at_sea_level,eastward_wind,northward_wind,band_0,band_1,band_2,band_3,band_4
WAAA,WAAA,-5.07,119.53,14.0,2024-09-03 06:30:00,320.0,11.0,22.0,8000.0,VCSH,,,SCT,1800.0,,,,,,,4,29.0,26.0,29.77,16,0,0,TEMPO TL0700 33013G25KT,1008.22,7.070663706551936,-8.426488874308756,495,441,907,862,855
WABB,WABB,-1.17,136.12,11.0,2024-09-03 06:30:00,320.0,4.0,,9000.0,,,,FEW,1700.0,SCT,1800.0,,,,,4,30.0,25.0,29.71,0,0,0,,1006.23,2.5711504387461583,-3.064177772475911,,,,,
WABI,WABI,-3.32,135.5,3.0,2024-09-03 06:30:00,290.0,9.0,,9999.0,,,,SCT,1600.0,,,,,,,4,32.0,26.0,29.68,0,0,0,,1005.28,8.457233587073175,-3.078181289931021,,,,,
WADB,WADB,-8.55,118.7,2.0,2024-09-03 06:30:00,360.0,8.0,,8000.0,VCSH,,,FEW,1400.0,SCT,1500.0,,,,,4,30.0,25.0,29.74,16,0,0,NOSIG RMK CB TO NW,1007.29,1.959434878635765e-15,-8.0,475,474,857,777,779
WADD,WADD,-8.73,115.17,216.0,2024-09-03 06:30:00,270.0,7.0,,9999.0,,,,FEW,1700.0,,,,,,,2,30.0,24.0,29.77,0,0,0,NOSIG,1006.93,7.0,1.2858791391047208e-15,279,234,873,656,664
WADL,WADL,-8.75,116.28,97.0,2024-09-03 06:30:00,290.0,6.0,,8000.0,,,,BKN,1600.0,,,,,,,6,30.0,23.0,29.77,0,0,0,NOSIG,1007.7,5.63815572471545,-2.052120859954014,477,411,916,791,788
WADS,WADS,-8.433333333333334,117.41666666666667,3.0,2024-09-03 06:30:00,330.0,8.0,,6000.0,,,,FEW,1800.0,SCT,1800.0,,,,,4,29.0,25.0,29.74,0,0,0,NOSIG,1007.28,4.0000000000000036,-6.928203230275507,501,451,924,819,813
WAGI,WAGI,-2.7,111.66666666666667,23.0,2024-09-03 06:30:00,0.0,0.0,,9000.0,TS,,,FEW,1200.0,BKN,1300.0,,,,,6,31.0,24.0,29.77,17,0,0,CB TO W,1008.15,-0.0,-0.0,165,168,847,574,586
WAGS,WAGS,-2.5,112.98333333333333,15.0,2024-09-03 06:30:00,300.0,4.0,,8000.0,VCSH,,,FEW,800.0,BKN,900.0,,,,,6,33.0,24.0,29.74,16,0,0,NOSIG,1007.19,3.4641016151377544,-2.0000000000000004,90,143,813,481,499
WAHQ,WAHQ,-7.516666666666667,110.75,128.0,2024-09-03 06:30:00,240.0,10.0,,9000.0,,,,SCT,1500.0,,,,,,,4,32.0,20.0,29.8,0,0,0,NOSIG,1008.41,8.660254037844384,5.000000000000004,97,146,795,430,439
WAHS,WAHS,-6.98,110.38,3.0,2024-09-03 06:30:00,10.0,6.0,,7000.0,,,,SCT,14000.0,,,,,,,4,,,,0,0,0,FT 30/23 Q1008 NOSIG,,-1.041889066001582,-5.908846518073248,356,362,960,898,878
WAJJ,WAJJ,-2.58,140.52,88.0,2024-09-03 06:30:00,270.0,10.0,,9999.0,,,,FEW,1200.0,,,,,,,2,29.0,23.0,29.65,0,0,0,NOSIG,1003.78,10.0,1.8369701987210296e-15,,,,,
WAKK,WAKK,-8.47,140.37,3.0,2024-09-03 06:30:00,260.0,12.0,,9999.0,,,,SCT,1500.0,,,,,,,4,31.0,25.0,29.65,0,0,0,NOSIG,1004.28,11.817693036146496,2.083778132003164,,,,,
WALL,WALL,-1.27,116.9,3.0,2024-09-03 06:30:00,50.0,4.0,,9999.0,,,,FEW,1800.0,SCT,2000.0,,,,,4,29.0,24.0,29.74,0,0,0,CB TO SW AND SE,1007.28,-3.064177772475912,-2.5711504387461575,354,338,947,831,816
WALS,WALS,-0.6166666666666667,117.15,230.0,2024-09-03 06:30:00,90.0,5.0,,9000.0,-RA,,,BKN,1800.0,,,,,,,6,29.0,25.0,29.77,61,0,0,NOSIG,1006.92,-5.0,-3.061616997868383e-16,334,322,959,831,813
WAMG,WAMG,0.52,123.07,2.0,2024-09-03 06:30:00,,5.0,,9999.0,,,,SCT,1300.0,SCT,2300.0,,,,,4,28.0,24.0,29.74,0,0,0,,1007.29,,,524,506,862,726,724
WAMM,WAMM,1.55,124.92,80.0,2024-09-03 06:30:00,,2.0,,7000.0,,,,FEW,1700.0,BKN,1800.0,,,,,6,25.0,24.0,29.8,0,0,0,NOSIG RMK CB IN CLIMB,1008.96,,,511,505,834,835,833
WAOK,WAOK,-3.4,116.21666666666667,18.0,2024-09-03 06:30:00,330.0,3.0,,9000.0,,,,SCT,1400.0,SCT,15000.0,,,,,4,30.0,25.0,29.74,0,0,0,NOSIG,1007.19,1.5000000000000013,-2.598076211353315,425,406,960,835,815
WAOO,WAOO,-3.45,114.77,20.0,2024-09-03 06:30:00,260.0,10.0,,1500.0,TSRA,,,FEW,1600.0,OVC,1600.0,,,,,8,26.0,24.0,29.77,1095,0,0,CB OVER THE FIELD,1008.21,9.84807753012208,1.7364817766693033,374,344,969,901,879
WAPP,WAPP,-3.7,128.07,12.0,2024-09-03 06:30:00,40.0,8.0,,9999.0,,,,SCT,1800.0,,,,,,,4,27.0,24.0,29.71,0,0,0,NOSIG,1006.24,-5.142300877492314,-6.128355544951824,,,,,
WAQA,WAQA,-4.133333333333334,117.66666666666667,9.0,2024-09-03 06:30:00,300.0,4.0,,8000.0,,,,SCT,1200.0,,,,,,,4,30.0,24.0,29.77,0,0,0,NOSIG,1008.25,3.4641016151377544,-2.0000000000000004,246,245,926,760,754
WAQQ,WAQQ,3.33,117.57,6.0,2024-09-03 06:30:00,220.0,5.0,,9999.0,,,,BKN,1200.0,,,,,,,6,30.0,24.0,29.77,0,0,0,NOSIG,1008.26,3.2139380484326963,3.83022221559489,227,215,911,703,702
WAQT,WAQT,2.1166666666666667,117.45,26.0,2024-09-03 06:30:00,20.0,7.0,,7000.0,-RA,,,BKN,1100.0,BKN,2600.0,,,,,6,26.0,25.0,29.83,61,0,0,NOSIG,1010.18,-2.394141003279681,-6.5778483455013586,323,306,952,855,838
WARR,WARR,-7.37,112.78,2.0,2024-09-03 06:30:00,70.0,8.0,,9999.0,,,,SCT,2000.0,,,,,,,4,31.0,26.0,29.74,0,0,0,NOSIG,1007.29,-7.5175409662872665,-2.7361611466053506,213,189,865,693,709
WASS,WASS,-0.92,131.12,3.0,2024-09-03 06:30:00,280.0,7.0,,8000.0,-TS,,,FEW,1000.0,BKN,1200.0,,,,,6,28.0,24.0,29.71,17,0,0,CB TO SE,1006.28,6.893654271085457,-1.2155372436685097,,,,,
WATC,WATC,-8.633333333333333,122.23333333333333,3.0,2024-09-03 06:30:00,360.0,3.0,,9999.0,,,,FEW,1500.0,SCT,1600.0,,,,,4,30.0,27.0,29.74,0,0,0,CB TO W NOSIG,1007.28,7.347880794884119e-16,-3.0,236,284,827,528,547
WATE,WATE,-8.85,121.66666666666667,15.0,2024-09-03 06:30:00,130.0,5.0,,8000.0,,,,BKN,1500.0,,,,,,,6,31.0,26.0,29.71,0,0,0,NOSIG,1006.2,-3.83022221559489,3.2139380484326967,288,220,785,528,559
WATG,WATG,-8.633333333333333,120.45,1170.0,2024-09-03 06:30:00,320.0,9.0,,9999.0,,,,BKN,1300.0,,,,,,,6,21.0,21.0,29.94,0,0,0,NOSIG,1009.54,5.785088487178856,-6.8943999880708,252,211,831,598,615
WATL,WATL,-8.266666666666667,122.96666666666667,9.0,2024-09-03 06:30:00,290.0,8.0,,9999.0,,,,FEW,2000.0,,,,,,,2,31.0,22.0,29.71,0,0,0,NOSIG,1006.24,7.5175409662872665,-2.736161146605352,323,254,788,562,588
WATO,WATO,-8.483333333333333,119.88333333333334,20.0,2024-09-03 06:30:00,320.0,7.0,,9999.0,,,,SCT,1800.0,,,,,,,4,30.0,25.0,29.77,0,0,0,NOSIG,1008.18,4.499513267805777,-5.362311101832844,268,320,851,637,651
WATS,WATS,-10.5,121.83333333333333,26.0,2024-09-03 06:30:00,290.0,5.0,,9999.0,,,,SCT,1400.0,,,,,,,4,30.0,25.0,29.71,0,0,0,NOSIG,1006.14,4.698463103929542,-1.7101007166283448,481,380,745,570,590
WATT,WATT,-10.17,123.67,102.0,2024-09-03 06:30:00,290.0,9.0,,9000.0,,,,FEW,1600.0,SCT,1600.0,,,,,4,31.0,26.0,29.74,0,0,0,NOSIG RMK CB IN CLIMB OUT,1006.63,8.457233587073175,-3.078181289931021,524,493,790,760,766
WAWW,WAWW,-4.1,122.43333333333334,50.0,2024-09-03 06:30:00,280.0,3.0,,9999.0,VCTS,,,FEW,1500.0,SCT,1500.0,,,,,4,29.0,25.0,29.77,13,0,0,CB TO S AREA,1008.01,2.9544232590366244,-0.5209445330007899,469,423,902,753,743
WIBB,WIBB,0.47,101.45,31.0,2024-09-03 06:30:00,340.0,7.0,,8000.0,,,,BKN,1300.0,FEW,1700.0,,,,,6,29.0,23.0,29.77,0,0,0,NOSIG,1008.12,2.3941410032796804,-6.5778483455013586,,,,,
WIDD,WIDD,1.12,104.12,38.0,2024-09-03 06:30:00,320.0,4.0,,9999.0,,,,SCT,1400.0,,,,,,,4,30.0,23.0,29.83,0,0,0,NOSIG,1010.07,2.5711504387461583,-3.064177772475911,185,184,977,889,867
WIDN,WIDN,0.92,104.52,18.0,2024-09-03 06:30:00,220.0,7.0,,9999.0,,,,SCT,1700.0,,,,,,,4,29.0,24.0,29.8,0,0,0,NOSIG,1009.2,4.499513267805774,5.362311101832846,272,260,973,861,841
WIEE,WIEE,-0.78,100.28,5.0,2024-09-03 06:30:00,250.0,5.0,,9999.0,,,,FEW,2000.0,,,,,,,2,31.0,25.0,29.8,0,0,0,NOSIG,1009.27,4.698463103929543,1.7101007166283426,,,,,
WIHH,WIHH,-6.25,106.88,25.0,2024-09-03 06:30:00,30.0,7.0,,6000.0,,,,SCT,2000.0,,,,,,,4,34.0,21.0,29.74,0,0,0,NOSIG,1007.11,-3.4999999999999996,-6.062177826491071,145,185,835,555,567
WIII,WIII,-6.13,106.67,8.0,2024-09-03 06:30:00,260.0,15.0,,9999.0,,,,FEW,2200.0,,,,,,,2,34.0,24.0,29.77,0,0,0,NOSIG,1008.24,14.772116295183121,2.6047226650039548,165,194,875,637,643
WIKK,WIKK,-2.17,106.13,33.0,2024-09-03 06:30:00,240.0,6.0,,9999.0,,,,SCT,1500.0,,,,,,,4,31.0,24.0,29.77,0,0,0,NOSIG,1008.09,5.19615242270663,3.0000000000000027,260,222,919,652,641
WIMB,WIMB,1.17,97.7,6.0,2024-09-03 06:30:00,60.0,7.0,,9999.0,,,,FEW,1500.0,FEW,1600.0,,,,,2,30.0,26.0,29.8,0,0,0,NOSIG RMK CB TO SW,1009.26,-6.06217782649107,-3.500000000000001,,,,,
WIME,WIME,1.4,99.43333333333334,281.0,2024-09-03 06:30:00,10.0,1.0,,9999.0,,,,FEW,1800.0,,,,,,,2,28.0,21.0,29.83,0,0,0,NOSIG,1008.71,-0.17364817766693033,-0.984807753012208,,,,,
WIMM,WIMM,3.57,98.67,25.0,2024-09-03 06:30:00,270.0,6.0,,9999.0,,,,SCT,1700.0,BKN,3000.0,,,,,6,31.0,24.0,29.8,0,0,0,NOSIG,1009.14,6.0,1.102182119232618e-15,,,,,
WIMN,WIMN,,,,2024-09-03 06:30:00,20.0,7.0,,7000.0,,,,BKN,1200.0,,,,,,,6,22.0,18.0,30.03,0,0,0,NOSIG,,-2.394141003279681,-6.5778483455013586,,,,,
WIMS,WIMS,1.55,98.87,3.0,2024-09-03 06:30:00,,3.0,,9999.0,,,,SCT,2000.0,,,,,,,4,31.0,24.0,29.77,0,0,0,NOSIG,1008.28,,,,,,,
WIOK,WIOK,-1.85,109.97,9.0,2024-09-03 06:30:00,280.0,6.0,,9999.0,,,,SCT,1200.0,,,,,,,4,32.0,25.0,29.8,0,0,0,NOSIG,1009.24,5.908846518073249,-1.0418890660015798,132,171,847,584,600
WIOO,WIOO,-0.15,109.4,3.0,2024-09-03 06:30:00,250.0,7.0,,9999.0,,,,BKN,1100.0,,,,,,,6,30.0,24.0,29.77,0,0,0,TEMPO FM0730 4000 RA,1008.28,6.5778483455013586,2.39414100327968,218,216,955,805,791
WIOS,WIOS,0.12,111.52,30.0,2024-09-03 06:30:00,250.0,3.0,,7000.0,,,,BKN,1300.0,,,,,,,6,29.0,24.0,29.8,0,0,0,NOSIG,1009.13,2.8190778623577253,1.0260604299770058,313,287,978,906,886
WIPP,WIPP,-2.88,104.7,10.0,2024-09-03 06:30:00,290.0,5.0,,9999.0,,,,BKN,1000.0,,,,,,,6,31.0,23.0,29.77,0,0,0,NOSIG,1008.24,4.698463103929542,-1.7101007166283448,214,211,943,818,805
WITT,WITT,5.52,95.42,21.0,2024-09-03 06:30:00,90.0,5.0,,9999.0,,,,SCT,1800.0,,,,,,,4,30.0,23.0,29.8,0,0,0,NOSIG,1009.17,-5.0,-3.061616997868383e-16,,,,,
